title,artist,artist_popularity,followers
Stay The Night,Zedd Featuring Hayley Williams,87,2577602
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,78,2073971
It Won't Stop,Sevyn Streeter Featuring Chris Brown,65,440452
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,11,158
You're Mine (Eternal),Mariah Carey,77,2788535
Explosions,Ellie Goulding,81,4487371
All Me,Drake Featuring 2 Chainz & Big Sean,100,18311830
Confident,Justin Bieber Featuring Chance The Rapper,90,20138154
Midnight Memories,One Direction,84,9003441
Sweet Annie,Zac Brown Band,75,918923
She Knows,J. Cole Featuring Amber Coffman & The Cults,85,4644675
Up All Night,Jon Pardi,73,368771
Follow Your Arrow,Kacey Musgraves,72,266574
m.A.A.d City,Kendrick Lamar Featuring MC Eiht,96,8354467
A Man Who Was Gonna Die Young,Eric Church,75,1334889
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,84,5710358
We Were Us,Keith Urban And Miranda Lambert,77,2060779
Carolina,Parmalee,59,68493
Marry Me,Jason Derulo,87,4707411
Love More,Chris Brown Featuring Nicki Minaj,91,5835971
Applause,Lady Gaga,82,4552779
Wasting All These Tears,Cassadee Pope,60,119727
Drunk Last Night,Eli Young Band,65,390201
How I Feel,Flo Rida,81,5410249
Alone Together,Fall Out Boy,84,4162562
All That Matters,Justin Bieber,90,20138155
Replay,Zendaya,82,1620651
Gas Pedal,Sage The Gemini Featuring IamSu!,71,477460
Survival,Eminem,93,15210347
Berzerk,Eminem,93,15210347
You Sound Good To Me,Lucy Hale,50,217498
TKO,Justin Timberlake,88,6109411
Sunny And 75,Joe Nichols,63,264141
That's My Kind Of Night,Luke Bryan,80,2462736
The Fox,Ylvis,58,111555
Work B**ch!,Britney Spears,80,3939998
Perfume,Britney Spears,80,3939998
Bounce It,Juicy J Featuring Wale & Trey Songz,82,1159584
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,68,657543
Old School Love,Lupe Fiasco Featuring Ed Sheeran,72,850031
Honest,Future,93,5968172
HeadBand,B.o.B Featuring 2 Chainz,77,1286377
Best Song Ever,One Direction,84,9003441
Heart Attack,Enrique Iglesias,84,5710358
Gorilla,Bruno Mars,91,11594781
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,73,69416
Bound 2,Kanye West,90,6937319
Who You Love,John Mayer Featuring Katy Perry,82,2714337
I Have Nothing,Tessanne Chin,36,13643
Little Drummer Boy,Pentatonix,74,1830908
Slow Down,Selena Gomez,87,9011152
Underneath The Tree,Kelly Clarkson,78,2840728
Summertime Sadness,Lana Del Rey & Cedric Gervais,85,5929036
Saturday,Rebecca Black & Dave Days,45,63972
Mine Would Be You,Blake Shelton,76,2973902
Cannonball,Lea Michele,62,287450
My Story,R. Kelly Featuring 2 Chainz,77,1465087
What Now,Rihanna,92,20858318
Pound Cake / Paris Morton Music 2,Drake Featuring Jay Z,100,18311839
Right There,Ariana Grande Featuring Big Sean,86,13055377
Change Me,Justin Bieber,90,20138157
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,88,3736828
Southern Girl,Tim McGraw,76,1935161
I. Crawl,Childish Gambino,82,2748053
The Outsiders,Eric Church,75,1334889
All The Way Home,Tamar Braxton,59,358666
Days Of Gold,Jake Owen,70,772502
We Can't Stop,Miley Cyrus,81,5268671
Roller Coaster,Justin Bieber,90,20138157
Mirrors,Justin Timberlake,88,6109411
Red,Taylor Swift,91,11084918
Red Nose,Sage The Gemini,71,477460
Type Of Way,Rich Homie Quan,76,1478923
Aw Naw,Chris Young,74,874421
Diana,One Direction,84,9003441
Still Into You,Paramore,80,2815015
Only Time,Enya,74,787319
PYD,Justin Bieber Featuring R. Kelly,90,20138157
Strong,One Direction,84,9003441
Last Christmas,Ariana Grande,86,13055378
Rough Water,Travie McCoy Featuring Jason Mraz,65,161768
Livin' On A Prayer,Bon Jovi,79,3071239
All Bad,Justin Bieber,90,20138160
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,91,11084918
Dope,Lady Gaga,82,4552778
Night Train,Jason Aldean,78,2028818
Darte Un Beso,Prince Royce,83,2046931
Propuesta Indecente,Romeo Santos,84,4205372
It Goes Like This,Thomas Rhett,81,1435109
Bad Day,Justin Bieber,90,20138160
A Case Of You,James Wolpert,25,1821
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,69,1129784
Parking Lot Party,Lee Brice,71,650546
Beautiful Pain,Eminem Featuring Sia,93,15210351
Let Me Go,Avril Lavigne Featuring Chad Kroeger,77,2470222
Venus,Lady Gaga,82,4552779
Recovery,Justin Bieber,90,20138160
Clarity,Zedd Featuring Foxes,87,2577602
Crooked Smile,J. Cole Featuring TLC,85,4644676
Get Lucky,Daft Punk Featuring Pharrell Williams,82,4126749
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,78,2073971
True Love,P!nk Featuring Lily Allen,84,3748963
V.S.O.P.,K. Michelle,63,588194
Closer,Tegan And Sara,63,363635
Hold Tight,Justin Bieber,90,20138160
Wait For A Minute,Tyga & Justin Bieber,80,2777132
Best I Ever Had,Gavin DeGraw,69,663578
Round Here,Florida Georgia Line,88,1447192
Miss Movin' On,Fifth Harmony,80,4786857
Treasure,Bruno Mars,91,11594781
Just Give Me A Reason,P!nk Featuring Nate Ruess,84,3748963
Heartbreaker,Justin Bieber,90,20138160
Hey Girl,Billy Currington,73,818048
Love Somebody,Maroon 5,89,10228841
Cruise,Florida Georgia Line Featuring Nelly,88,1447192
Redneck Crazy,Tyler Farr,61,267280
Sirens,Pearl Jam,79,3078402
Make You Feel My Love,Glee Cast,77,833519
Drive,Miley Cyrus,81,5268670
Someone Else,Miley Cyrus,81,5268670
Outta My Head,Craig Campbell,58,127767
Loco,Enrique Iglesias Featuring Romeo Santos,84,5710360
Gone,Kanye West Featuring Cam'ron & Consequence,90,6937320
Walking On Air,Katy Perry,85,9247186
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,78,2073971
I Need Your Love,Calvin Harris Featuring Ellie Goulding,87,10471133
Take Back The Night,Justin Timberlake,88,6109411
Point At You,Justin Moore,68,622082
Furthest Thing,Drake,100,18311843
From Time,Drake Featuring Jhene Aiko,100,18311843
Little Bit Of Everything,Keith Urban,77,2060781
Don't Ya,Brett Eldredge,71,540145
Bruises,Train Featuring Ashley Monroe,76,1964545
"Gone, Gone, Gone",Phillip Phillips,65,442942
Wu-Tang Forever,Drake,100,18311844
Too Much,Drake,100,18311844
Own It,Drake,100,18311844
Tuscan Leather,Drake,100,18311844
Young And Beautiful,Lana Del Rey,85,5929038
Come Thru,Drake,100,18311844
Feds Watching,2 Chainz Featuring Pharrell,88,2518184
American Girl,Bonnie McKee,60,37199
The Way,Ariana Grande Featuring Mac Miller,86,13055379
A Light That Never Comes,Linkin Park X Steve Aoki,87,7792713
Runnin' Outta Moonlight,Randy Houser,65,339230
All Over The Road,Easton Corbin,65,328959
Monster,Imagine Dragons,91,8494983
You Make Me,Avicii,83,7537052
Could It Be,Charlie Worsham,42,12024
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,76,2079588
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",59,478648
Stay,Rihanna Featuring Mikky Ekko,92,20858329
Baby I,Ariana Grande,86,13055380
See You Again,Carrie Underwood,74,2127775
Wop,J. Dash,44,22489
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,73,559393
I Do It,2 Chainz Featuring Drake & Lil Wayne,88,2518186
Popular Song,MIKA Featuring Ariana Grande,68,667777
Ain't Worried About Nothin,French Montana,87,1427050
Reflektor,Arcade Fire,73,1198569
Vivir Mi Vida,Marc Anthony,78,2019091
Come & Get It,Selena Gomez,87,9011154
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,78,2073971
The Other Side,Jason Derulo,87,4707412
Body Party,Ciara,73,2562430
Turn The Night Up,Enrique Iglesias,84,5710361
Almost Is Never Enough,Ariana Grande & Nathan Sykes,86,13055381
Goodbye Town,Lady Antebellum,70,1763774
When I See This Bar,Kenny Chesney,74,1629026
Versace,Migos,93,4750689
Act Right,Yo Gotti Featuring Jeezy & YG,79,1524882
Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,20,284
Power Trip,J. Cole Featuring Miguel,85,4644677
Crash My Party,Luke Bryan,80,2462736
How Many Drinks?,Miguel,85,1523686
Hail To The King,Avenged Sevenfold,78,2057311
Blood On The Leaves,Kanye West,90,6937323
Rock N Roll,Avril Lavigne,77,2470222
Acapella,Karmin,57,419766
I Want Crazy,Hunter Hayes,68,657543
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,53,171184
Wildfire,John Mayer,82,2714338
#Beautiful,Mariah Carey Featuring Miguel,77,2788538
Helluva Night,Ludacris,78,1270427
LoveHate Thing,Wale Featuring Sam Dew,77,1271122
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,71,783806
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,76,2973905
When I Was Your Man,Bruno Mars,91,11594783
I Love It,Icona Pop Featuring Charli XCX,69,556775
This Is Gospel,Panic! At The Disco,85,3757851
Right Now,Rihanna Featuring David Guetta,92,20858329
We Own The Night,The Wanted,69,1311428
Your Side Of The Bed,Little Big Town,67,905684
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,59,557580
Ho Hey,The Lumineers,78,2292216
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",85,3825709
Hopeless Wanderer,Mumford & Sons,78,4103188
Made In The USA,Demi Lovato,89,7724172
What About Love,Austin Mahone,73,1164685
Chloe (You're The One I Want),Emblem3,50,203553
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",55,291047
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,84,4162563
Wagon Wheel,Darius Rucker,71,751066
Hey Pretty Girl,Kip Moore,68,435735
Anywhere With You,Jake Owen,70,772503
Jump Right In,Zac Brown Band,75,918923
I'm Out,Ciara Featuring Nicki Minaj,73,2562432
DONE.,The Band Perry,60,652201
Play Hard,David Guetta Featuring Ne-Yo & Akon,90,12933449
Beat This Summer,Brad Paisley,71,1083340
Miss Jackson,Panic! At The Disco Featuring Lolo,85,3757851
Ooh La La,Britney Spears,80,3940000
People Like Us,Kelly Clarkson,78,2840731
Here's To Never Growing Up,Avril Lavigne,77,2470222
Gentleman,PSY,62,929703
Fine China,Chris Brown,91,5835971
Highway Don't Care,Tim McGraw With Taylor Swift,76,1935164
Heart Attack,Demi Lovato,89,7724172
22,Taylor Swift,91,11084927
Lego House,Ed Sheeran,96,21431914
Black Skinhead,Kanye West,90,6937323
Started From The Bottom,Drake,100,18311852
Feel This Moment,Pitbull Featuring Christina Aguilera,84,5139281
Suit & Tie,Justin Timberlake Featuring JAY Z,88,6109411
More Than Miles,Brantley Gilbert,72,1012687
Don't Think They Know,Chris Brown Featuring Aaliyah,91,5835971
High School,Nicki Minaj Featuring Lil Wayne,90,9947630
#thatPOWER,will.i.am Featuring Justin Bieber,75,1871139
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,88,2518189
Live For The Night,Krewella,70,548326
We Still In This B****,B.o.B Featuring T.I. & Juicy J,77,1286377
Harlem Shake,Baauer,64,115116
Bugatti,Ace Hood Featuring Future & Rick Ross,65,667622
Alive,Krewella,70,548326
New Slaves,Kanye West,90,6937323
Wild For The Night,A$AP Rocky Featuring Skrillex,88,3402901
I Knew You Were Trouble.,Taylor Swift,91,11084927
Born To Fly,Danielle Bradbery,62,83543
Paper Doll,John Mayer,82,2714339
Downtown,Lady Antebellum,70,1763774
Maybe It Was Memphis,Danielle Bradbery,62,83543
Love Me,Lil Wayne Featuring Drake & Future,90,5914052
Live It Up,Jennifer Lopez Featuring Pitbull,79,4236275
Like Jesus Does,Eric Church,75,1334891
I Got You,Jack Johnson,80,1941254
Turn The Page,The Swon Brothers,48,34663
Please Remember Me,Danielle Bradbery,62,83543
Loveeeeeee Song,Rihanna Featuring Future,92,20858338
Ready,Fabolous Featuring Chris Brown,73,665430
Locked Out Of Heaven,Bruno Mars,91,11594790
Get Your Shine On,Florida Georgia Line,88,1447193
Mama's Broken Heart,Miranda Lambert,69,1286104
I Knew You Were Trouble,Michelle Chamuel,24,5663
Levitate,Hadouken!,44,45374
Love And War,Tamar Braxton,59,358666
Pirate Flag,Kenny Chesney,74,1629028
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",80,2777132
Can't Shake You,Gloriana,49,140932
Work,A$AP Ferg,82,1158409
Troublemaker,Olly Murs Featuring Flo Rida,72,1464587
Wit Me,T.I. Featuring Lil Wayne,80,2176756
Wings,Little Mix,82,3654422
Kisses Down Low,Kelly Rowland,71,1190350
Daylight,Maroon 5,89,10228847
Sure Be Cool If You Did,Blake Shelton,76,2973906
"Heads Carolina, Tails California",Danielle Bradbery,62,83543
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",74,1878208
1994,Jason Aldean,78,2028818
Karate Chop (Remix),Future Featuring Lil Wayne,93,5968178
Give It All We Got Tonight,George Strait,73,698027
Carry On,fun.,71,2901291
Pour It Up,Rihanna,92,20858342
If I Didn't Have You,Thompson Square,54,198036
I Am Beautiful,Candice Glover,25,8364
I Drive Your Truck,Lee Brice,71,650547
Scream & Shout,will.i.am & Britney Spears,75,1871139
Sweet Nothing,Calvin Harris Featuring Florence Welch,87,10471144
Battle Scars,Lupe Fiasco & Guy Sebastian,72,850031
R.I.P.,Young Jeezy Featuring 2 Chainz,76,922575
Don't You Worry Child,Swedish House Mafia Featuring John Martin,72,2241006
I Will Wait,Mumford & Sons,78,4103190
I Hit It First,Ray J Featuring Bobby Brackins,63,401961
Sexy People (The Fiat Song),Arianna Featuring Pitbull,25,2500
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",80,2176756
Freaks,French Montana Featuring Nicki Minaj,87,1427052
It's Time,Imagine Dragons,91,8494989
I Can Take It From There,Chris Young,74,874422
All Gold Everything,Trinidad James,67,171216
Two Black Cadillacs,Carrie Underwood,74,2127776
All Around The World,Justin Bieber Featuring Ludacris,90,20138178
Show Out,Juicy J Featuring Big Sean & Young Jeezy,82,1159587
Little Talks,Of Monsters And Men,73,2073065
Fall Down,will.i.am Featuring Miley Cyrus,75,1871139
If I Lose Myself,OneRepublic,83,4218858
Neva End,Future,93,5968178
Accidental Racist,Brad Paisley Featuring LL Cool J,71,1083340
Don't Rush,Kelly Clarkson Featuring Vince Gill,78,2840734
One Of Those Nights,Tim McGraw,76,1935165
Just Keep Breathing,WE the Kings,67,537613
Changed,Rascal Flatts,73,1221791
Kiss You,One Direction,84,9003441
Catch My Breath,Kelly Clarkson,78,2840734
Madness,Muse,79,3565064
Poetic Justice,Kendrick Lamar Featuring Drake,96,8354482
Try,P!nk,84,3748965
Gangnam Style,PSY,62,929703
One More Night,Maroon 5,89,10228850
Pom Poms,Jonas Brothers,66,941202
Somebody's Heartbreak,Hunter Hayes,68,657543
Whiskey,Jana Kramer,55,210793
One Way Or Another (Teenage Kicks),One Direction,84,9003441
Girl On Fire,Alicia Keys Featuring Nicki Minaj,80,3881814
Home,Phillip Phillips,65,442942
I'm Different,2 Chainz,88,2518190
The Phoenix,Fall Out Boy,84,4162564
Pusher Love Girl,Justin Timberlake,88,6109411
Dope,Tyga Featuring Rick Ross,80,2777133
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,90,20138179
Diamonds,Rihanna,92,20858347
Merry Go 'round,Kacey Musgraves,72,266575
Tornado,Little Big Town,67,905685
Who Booty,Jonn Hart Featuring IamSU!,52,33887
Stubborn Love,The Lumineers,78,2292216
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,78,2028818
Adorn,Miguel,85,1523686
Some Nights,fun.,71,2901292
Hall Of Fame,The Script Featuring will.i.am,79,3073646
Better Dig Two,The Band Perry,60,652201
Wicked Games,The Weeknd,95,9887954
Hey Porsche,Nelly,77,968760
Don't Judge Me,Chris Brown,91,5835974
So Many Girls,"DJ Drama Featuring Wale, Tyga & Roscoe Dash",64,364620
Gold,Britt Nicole,60,212647
Love Sosa,Chief Keef,73,1005785
Buzzkill,Luke Bryan,80,2462738
Little Things,One Direction,84,9003441
Wanted,Hunter Hayes,68,657543
Tip It On Back,Dierks Bentley,74,1170677
Remember You,Wiz Khalifa Featuring The Weeknd,88,6644012
As Your Friend,Afrojack Featuring Chris Brown,79,1718492
Skyfall,Adele,85,8650603
Swimming Pools (Drank),Kendrick Lamar,96,8354486
Don't Stop The Party,Pitbull Featuring TJR,84,5139284
Ball,T.I. Featuring Lil Wayne,80,2176757
Va Va Voom,Nicki Minaj,90,9947634
Guap,Big Sean,88,3736831
The A Team,Ed Sheeran,96,21431926
Hold On,Alabama Shakes,68,1018820
Anything Could Happen,Ellie Goulding,81,4487372
Goodbye In Her Eyes,Zac Brown Band,75,918924
Somebody That I Used To Know,Gotye Featuring Kimbra,67,1989168
I Cry,Flo Rida,81,5410252
Every Storm (Runs Out Of Rain),Gary Allan,63,330404
Begin Again,Taylor Swift,91,11084937
How Country Feels,Randy Houser,65,339231
Southern Comfort Zone,Brad Paisley,71,1083340
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,55,148782
Crying On A Suitcase,Casey James,36,51591
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,81,3189776
Nothing Like Us,Justin Bieber,90,20138186
Let There Be Cowgirls,Chris Cagle,62,258705
Clique,"Kanye West, Jay-Z, Big Sean",90,6937327
Call Me Maybe,Carly Rae Jepsen,73,2427924
No Worries,Lil Wayne Featuring Detail,90,5914055
Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar,67,658819
Take A Walk,Passion Pit,67,846251
Let Me Love You (Until You Learn To Love Yourself),Glee Cast,77,833519
Beer Money,Kip Moore,68,435735
Too Close,Alex Clare,64,609167
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,82,1159590
Rest Of My Life,Ludacris Featuring Usher & David Guetta,78,1270429
Bad Ass,Kid Ink Featuring Meek Mill & Wale,77,1600962
Til My Last Day,Justin Moore,68,622082
We Are Never Ever Getting Back Together,Taylor Swift,91,11084940
Thinkin Bout You,Frank Ocean,85,3099207
Lights,Ellie Goulding,81,4487372
Long Live A$AP,A$AP Rocky,88,3402907
Live While We're Young,One Direction,84,9003441
Diced Pineapples,Rick Ross Featuring Wale & Drake,81,1903489
Between The Raindrops,Lifehouse Featuring Natasha Bedingfield,69,722572
Feel Again,OneRepublic,83,4218862
The Moment I Knew,Taylor Swift,91,11084941
I Dreamed A Dream,Anne Hathaway,54,12069
Ready Or Not,Bridgit Mendler,65,759948
As Long As You Love Me,Justin Bieber Featuring Big Sean,90,20138188
Blow Me (One Last Kiss),P!nk,84,3748968
Don't Wake Me Up,Chris Brown,91,5835977
Kiss Tomorrow Goodbye,Luke Bryan,80,2462738
Creepin',Eric Church,75,1334891
El Cerrito Place,Kenny Chesney,74,1629029
Young & Gettin' It,Meek Mill Featuring Kirko Bangz,80,1665879
Did It For The Girl,Greg Bates,36,19793
On My Own,Samantha Barks,53,6570
Ice,Kelly Rowland Featuring Lil Wayne,71,1190351
Oath,Cher Lloyd Featuring Becky G,65,1319544
King Wizard,Kid Cudi,78,2286496
Rock Me,One Direction,84,9003442
My Moment,"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",64,364620
Birthday Song,2 Chainz Featuring Kanye West,88,2518193
Turn On The Lights,Future,93,5968181
The One That Got Away,Jake Owen,70,772503
Representin',Ludacris Featuring Kelly Rowland,78,1270429
Stupid Boy,Cassadee Pope,60,119727
My Life,50 Cent Featuring Eminem & Adam Levine,83,3538542
Finally Found You,Enrique Iglesias Featuring Sammy Adams,84,5710363
Everybody Talks,Neon Trees,65,578168
Good Time,Owl City & Carly Rae Jepsen,72,1368106
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",87,1427055
I Want To Know What Love Is,Terry McDermott,24,1978
Let It Go,Wiz Khalifa Featuring Akon,88,6644011
Come Wake Me Up,Rascal Flatts,73,1221791
Whistle,Flo Rida,81,5410252
Blown Away,Carrie Underwood,74,2127778
Fastest Girl In Town,Miranda Lambert,69,1286104
Take A Little Ride,Jason Aldean,78,2028818
Too Close,Melanie Martinez,74,2651703
Are You Happy Now?,Cassadee Pope,60,119727
50 Ways To Say Goodbye,Train,76,1964547
Titanium,David Guetta Featuring Sia,90,12933460
Just A Fool,Christina Aguilera With Blake Shelton,79,2734242
Seven Nation Army,Melanie Martinez,74,2651703
Pound The Alarm,Nicki Minaj,90,9947638
I Found You,The Wanted,69,1311428
Hard To Love,Lee Brice,71,650547
Payphone,Maroon 5 Featuring Wiz Khalifa,89,10228852
Wide Awake,Katy Perry,85,9247193
2 Reasons,Trey Songz Featuring T.I.,81,2814073
Your Body,Christina Aguilera,79,2734242
Put It Down,Brandy Featuring Chris Brown,65,741132
Lovin' You Is Fun,Easton Corbin,65,328959
Dive In,Trey Songz,81,2814074
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",90,6937329
Give Your Heart A Break,Demi Lovato,89,7724180
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,90,12933460
I Won't Give Up,Jason Mraz,78,2666353
No Lie,2 Chainz Featuring Drake,88,2518193
Numb,Usher,82,5491314
I Almost Do,Taylor Swift,91,11084946
Want U Back,Cher Lloyd,65,1319544
All Too Well,Taylor Swift,91,11084948
Stay Stay Stay,Taylor Swift,91,11084948
Babel,Mumford & Sons,78,4103192
State Of Grace,Taylor Swift,91,11084948
Pontoon,Little Big Town,67,905685
Truck Yeah,Tim McGraw,76,1935165
She's So Mean,matchbox twenty,70,791615
Hello,Karmin,57,419766
Amen,Meek Mill Featuring Drake,80,1665879
Whispers In The Dark,Mumford & Sons,78,4103192
Cowboys And Angels,Dustin Lynch,73,568217
Where Have You Been,Rihanna,92,20858364
Shinin' On Me,Jerrod Niemann,60,229058
Holland Road,Mumford & Sons,78,4103192
Just What I Am,Kid Cudi Featuring King Chip,78,2286496
Ghosts That We Knew,Mumford & Sons,78,4103192
What Makes You Beautiful,One Direction,84,9003443
We Are Young,fun. Featuring Janelle Monae,71,2901292
Lemme See,Usher Featuring Rick Ross,82,5491314
The Scientist,Glee Cast,77,833519
Lover Of The Light,Mumford & Sons,78,4103192
Heart Attack,Trey Songz,81,2814074
Why Ya Wanna,Jana Kramer,55,210793
Come Over,Kenny Chesney,74,1629029
Angel Eyes,Love And Theft,54,192922
Dark Side,Kelly Clarkson,78,2840735
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,68,997118
I Don't Like,Chief Keef Featuring Lil Reese,73,1005785
Tonight (Best You Ever Had),John Legend Featuring Ludacris,82,3477030
To The World,"Kanye West, R. Kelly",90,6937329
Glad You Came,The Wanted,69,1311428
Burn It Down,Linkin Park,87,7792726
5-1-5-0,Dierks Bentley,74,1170677
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain",77,1271124
Heart Skips A Beat,Olly Murs Featuring Chiddy Bang,72,1464587
Nobody's Perfect,J. Cole Featuring Missy Elliott,85,4644680
Drive By,Train,76,1964548
Time Is Love,Josh Turner,69,746263
Starships,Nicki Minaj,90,9947641
Scream,Usher,82,5491314
This Kiss,Carly Rae Jepsen,73,2427924
That's Why I Pray,Big & Rich,62,378376
Oh Love,Green Day,82,5884313
"Work Hard, Play Hard",Wiz Khalifa,88,6644011
Wild Ones,Flo Rida Featuring Sia,81,5410254
Tongue Tied,Grouplove,70,596262
Settle Down,No Doubt,70,779356
Both Of Us,B.o.B Featuring Taylor Swift,77,1286379
The Wind,Zac Brown Band,75,918925
Chasing The Sun,The Wanted,69,1311428
Promises,NERO,60,609289
Snap Backs & Tattoos,Driicky Graham,33,24647
Stronger (What Doesn't Kill You),Kelly Clarkson,78,2840735
Postcard From Paris,The Band Perry,60,652201
My Homies Still,Lil Wayne Featuring Big Sean,90,5914055
Wanted You More,Lady Antebellum,70,1763777
We Run The Night,Havana Brown Featuring Pitbull,46,116448
Cashin' Out,Ca$h Out,53,274288
The Fighter,Gym Class Heroes Featuring Ryan Tedder,68,795772
Throw That,Slaughterhouse Featuring Eminem,52,131384
I Wish You Would,DJ Khaled Featuring Kanye West & Rick Ross,83,1859962
(Kissed You) Good Night,Gloriana,49,140932
Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",83,1859962
Back In Time,Pitbull,84,5139286
Yuck!,2 Chainz Featuring Lil Wayne,88,2518194
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,90,9947641
Lamborghini Angels,Lupe Fiasco,72,850032
Neon,Chris Young,74,874423
Glass,Thompson Square,54,198036
Drunk On You,Luke Bryan,80,2462739
Boyfriend,Justin Bieber,90,20138198
One Thing,One Direction,84,9003443
Gold On The Ceiling,The Black Keys,75,2365655
Feel So Close,Calvin Harris,87,10471158
Brokenhearted,Karmin,57,419766
New Day,50 Cent Featuring Dr. Dre & Alicia Keys,83,3538543
Dance Again,Jennifer Lopez Featuring Pitbull,79,4236281
Crew Love,Drake Featuring The Weeknd,100,18311889
Something To Do With My Hands,Thomas Rhett,81,1435114
Even If It Breaks Your Heart,Eli Young Band,65,390202
Springsteen,Eric Church,75,1334891
Leave You Alone,Young Jeezy Featuring Ne-Yo,76,922576
Beers Ago,Toby Keith,69,810092
Runaways,The Killers,82,3130079
New God Flow,Pusha T Kanye West,75,669295
Go Get It,T.I.,80,2176758
Bangarang,Skrillex Featuring Sirah,83,5938495
How We Do (Party),Rita Ora,86,1843416
Midnight City,M83.,71,1401446
Mercy,Dave Matthews Band,69,737438
Part Of Me,Katy Perry,85,9247193
The Motto,Drake Featuring Lil Wayne,100,18311891
Get It Started,Pitbull Featuring Shakira,84,5139286
Right By My Side,Nicki Minaj Featuring Chris Brown,90,9947643
Drank In My Cup,Kirko Bangz,57,316905
Take Care,Drake Featuring Rihanna,100,18311891
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,68,2444753
Climax,Usher,82,5491315
You Don't Know Her Like I Do,Brantley Gilbert,72,1012688
Good Girl,Carrie Underwood,74,2127780
Fly Over States,Jason Aldean,78,2028819
Birthday Cake,Rihanna Featuring Chris Brown,92,20858380
Ayy Ladies,Travis Porter Featuring Tyga,62,388855
We Found Love,Rihanna Featuring Calvin Harris,92,20858380
Wipe Your Eyes,Maroon 5,89,10228852
Lost In The Echo,Linkin Park,87,7792730
Windows Down,Big Time Rush,64,947708
Turn Up The Music,Chris Brown,91,5835978
Somethin' 'Bout A Truck,Kip Moore,68,435735
Set Fire To The Rain,Adele,85,8650608
No Hurry,Zac Brown Band,75,918925
Right Here,Justin Bieber Featuring Drake,90,20138202
So Good,B.o.B,77,1286378
Rumour Has It,Adele,85,8650608
Faded,Tyga Featuring Lil Wayne,80,2777136
Sexy And I Know It,LMFAO,68,2444753
Eyes Open,Taylor Swift,91,11084957
Good Feeling,Flo Rida,81,5410254
Get Low,"Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida",73,1058622
Die In Your Arms,Justin Bieber,90,20138204
Shadow Days,John Mayer,82,2714342
Fine By Me,Andy Grammer,73,444879
Same Damn Time,Future,93,5968187
Banjo,Rascal Flatts,73,1221794
Turn Me On,David Guetta Featuring Nicki Minaj,90,12933464
Better Than I Used To Be,Tim McGraw,76,1935165
Over You,Miranda Lambert,69,1286105
I'm All Yours,Jay Sean Featuring Pitbull,69,528577
Drink On It,Blake Shelton,76,2973909
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,89,10228853
Undefeated,Jason Derulo,87,4707415
